CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS
Restaurant,BLUE BOTTLE COFFEE,"7 AVENUE, Brooklyn",11215,Not Available,Not Available,Not Available
Restaurant,GREEN BLEND,"8 AVENUE, Manhattan",10001,Not Available,Not Available,Not Available
Restaurant,MIRANDA'S PUPUSERIA,"160 STREET, Queens",11432,Not Available,Not Available,Not Available
Restaurant,BRISAS DEL MAR SEAFOOD MARKET,"LEXINGTON AVENUE, Manhattan",10029,Not Available,Not Available,Not Available
Restaurant,ON,"MADISON AVENUE, Manhattan",10016,Not Available,Not Available,Not Available
Restaurant,Verdes Italian Eatery,"VICTORY BOULEVARD, Staten Island",10314,Not Available,Not Available,Not Available
Restaurant,KFC,"CONEY ISLAND AVENUE, Brooklyn",11218,Not Available,Not Available,Not Available
Restaurant,INSOMNIA COOKIES,"CHURCH STREET, Manhattan",10007,Not Available,Not Available,Not Available
Restaurant,IL MELOGRANO,"WEST   51 STREET, Manhattan",10019,Not Available,Not Available,Not Available
Restaurant,ARTECHOUSE,"9 AVENUE, Manhattan",10011,Not Available,Not Available,Not Available
Restaurant,STANDINGS,"EAST    7 STREET, Manhattan",10003,Not Available,Not Available,Not Available
Restaurant,LA ISLA CUCHIFRITOS,"WILLIS AVENUE, Bronx",10455,Not Available,Not Available,Not Available
Restaurant,NEW BOE LEE,"LYDIG AVENUE, Bronx",10462,Not Available,Not Available,Not Available
Restaurant,ALENBI KITCHEN,"NOSTRAND AVENUE, Brooklyn",11225,Not Available,Not Available,Not Available
Restaurant,RETRO FITNESS,"AVENUE Y, Brooklyn",11223,Not Available,Not Available,Not Available
Restaurant,HAPPY WORLD,"SAINT NICHOLAS AVENUE, Manhattan",10033,Not Available,Not Available,Not Available
Restaurant,BURGER KING,"7 AVENUE, Manhattan",10018,Not Available,Not Available,Not Available
Restaurant,REVIVE (FOOD COURT BAR),"JOHN F. KENNEDY INTL AIRPORT, Queens",11430,Not Available,Not Available,Not Available
Restaurant,FAMOUS ROTISSERIE AND GRILL,"MERMAID AVENUE, Brooklyn",11224,Not Available,Not Available,Not Available
Restaurant,MCDONALD'S,"3 AVENUE, Manhattan",10028,Not Available,Not Available,Not Available
Restaurant,TOP CAFE TIBET,"CORTELYOU ROAD, Brooklyn",11226,Not Available,Not Available,Not Available
Restaurant,NOW  HERE,"WOOSTER STREET, Manhattan",10013,Not Available,Not Available,Not Available
Restaurant,CIRCLE LINE LIBERTY (Sat and Sun in Fall),"W 42ND ST, Manhattan",10036,Not Available,Not Available,Not Available
Restaurant,SKINOS MEDITERRANEAN CUSINE,"WASHINGTON STREET, Manhattan",10006,Not Available,Not Available,Not Available
Restaurant,SABOR PERUANO RESTAURANT,"CORONA AVE, Queens",11368,Not Available,Not Available,Not Available
Restaurant,CABANA,"70 ROAD, Queens",11375,Not Available,Not Available,Not Available
Restaurant,EL NUEVO TINA RESTAURANT,"WEST  125 STREET, Manhattan",10027,Not Available,Not Available,Not Available
Restaurant,CASA ASIA,"14 AVENUE, Queens",11357,Not Available,Not Available,Not Available
Restaurant,"SENZAI SUSHI, LOBSTER SHRIMP ROLL BY AQUA GRILL","PENN PLZ, Manhattan",10121,Not Available,Not Available,Not Available
Restaurant,ICOOK BUFFET,"41ST AVE, Queens",11355,Not Available,Not Available,Not Available
Restaurant,RONGWANG CANTONESE RESTAURANT,"ROOSEVELT AVE, Queens",11354,Not Available,Not Available,Not Available
Restaurant,RICO POLLO II RESTAURANT,"FULTON STREET, Brooklyn",11208,Not Available,Not Available,Not Available
